"","iso_a3","name_en","cadc.type","usd.comm.ctry.cadc","usd.disb.ctry.cadc","tot.usd.comm.ctry","tot.usd.disb.ctry","perc.cumsum.comm","perc.cumsum.disb"
"138","CRI","Costa Rica","other ocean economy",1.46,1.97,229.93,36.28,0.878388514454012,0.844189399093978
"139","CUB","Cuba","equity CADC",25.4,4.8,217.76,123.95,0.883091513458166,0.848056259306436
"140","CUB","Cuba","other CADC",191.28,118.05,217.76,123.95,0.883091513458166,0.848056259306436
"141","CUB","Cuba","other ocean economy",1.08,1.1,217.76,123.95,0.883091513458166,0.848056259306436
"142","LBR","Liberia","equity CADC",19.75,19.09,215.39,123.13,0.887743327177421,0.851897538031405
"143","LBR","Liberia","other CADC",63.67,18.64,215.39,123.13,0.887743327177421,0.851897538031405
"144","LBR","Liberia","other ocean economy",131.97,85.4,215.39,123.13,0.887743327177421,0.851897538031405
"145","HND","Honduras","equity CADC",28.11,28.44,204.44,132.5,0.892158651922137,0.856031132046335
"146","HND","Honduras","other CADC",163.16,18.29,204.44,132.5,0.892158651922137,0.856031132046335
"147","HND","Honduras","other ocean economy",13.17,85.77,204.44,132.5,0.892158651922137,0.856031132046335
"148","MNE","Montenegro","equity CADC",12.25,6.05,199.63,159.88,0.896470094295389,0.861018898167898
"149","MNE","Montenegro","other CADC",186.3,150.59,199.63,159.88,0.896470094295389,0.861018898167898
"150","MNE","Montenegro","other ocean economy",1.08,3.24,199.63,159.88,0.896470094295389,0.861018898167898
"151","NIC","Nicaragua","equity CADC",21.7,88.57,191.07,226.57,0.900596664922335,0.868087187948748
"152","NIC","Nicaragua","other CADC",153.47,110.65,191.07,226.57,0.900596664922335,0.868087187948748
"153","NIC","Nicaragua","other ocean economy",15.9,27.35,191.07,226.57,0.900596664922335,0.868087187948748
"154","KIR","Kiribati","equity CADC",36.83,19.03,190.37,107.08,0.904708117532645,0.871427755851531
"155","KIR","Kiribati","other CADC",84.22,39.06,190.37,107.08,0.904708117532645,0.871427755851531
"156","KIR","Kiribati","other ocean economy",69.32,48.99,190.37,107.08,0.904708117532645,0.871427755851531
"157","VUT","Vanuatu","equity CADC",33.93,14.28,186.51,147.99,0.908736205079783,0.876044590404509
"158","VUT","Vanuatu","other CADC",146.97,113.56,186.51,147.99,0.908736205079783,0.876044590404509
"159","VUT","Vanuatu","other ocean economy",5.61,20.15,186.51,147.99,0.908736205079783,0.876044590404509
"160","TON","Tonga","equity CADC",74.36,5.79,184.06,105.57,0.912711379568692,0.879338050933989
"161","TON","Tonga","other CADC",54.78,36.39,184.06,105.57,0.912711379568692,0.879338050933989
"162","TON","Tonga","other ocean economy",54.92,63.39,184.06,105.57,0.912711379568692,0.879338050933989
"163","ZAF","South Africa","equity CADC",20.71,18.64,183.54,323.96,0.916675323530955,0.889444610308154
"164","ZAF","South Africa","other CADC",158.69,147.21,183.54,323.96,0.916675323530955,0.889444610308154
"165","ZAF","South Africa","other ocean economy",4.14,158.11,183.54,323.96,0.916675323530955,0.889444610308154
"166","GIN","Guinea","equity CADC",79.86,11.31,179.09,47.26,0.92054316010174,0.890918977501706
"167","GIN","Guinea","other CADC",63.49,17.09,179.09,47.26,0.92054316010174,0.890918977501706
"168","GIN","Guinea","other ocean economy",35.74,18.86,179.09,47.26,0.92054316010174,0.890918977501706
"169","TUV","Tuvalu","equity CADC",101.82,27.52,178.13,107.85,0.924390263392565,0.894283567045179
"170","TUV","Tuvalu","other CADC",54.24,55.16,178.13,107.85,0.924390263392565,0.894283567045179
"171","TUV","Tuvalu","other ocean economy",22.07,25.17,178.13,107.85,0.924390263392565,0.894283567045179
"172","SDN","Sudan","equity CADC",10.78,17.6,172.16,74.74,0.928108431598642,0.896615226038959
"173","SDN","Sudan","other CADC",152.89,49.69,172.16,74.74,0.928108431598642,0.896615226038959
"174","SDN","Sudan","other ocean economy",8.49,7.45,172.16,74.74,0.928108431598642,0.896615226038959
"175","CPV","Cape Verde","equity CADC",24.38,9.66,157.93,194.2,0.931519272123652,0.902673671002729
"176","CPV","Cape Verde","other CADC",43.23,30.72,157.93,194.2,0.931519272123652,0.902673671002729
"177","CPV","Cape Verde","other ocean economy",90.32,153.82,157.93,194.2,0.931519272123652,0.902673671002729
"178","TGO","Togo","equity CADC",31.62,3.05,153.42,72.92,0.934832709427185,0.904948551573059
"179","TGO","Togo","other CADC",46.3,21.61,153.42,72.92,0.934832709427185,0.904948551573059
"180","TGO","Togo","other ocean economy",75.5,48.26,153.42,72.92,0.934832709427185,0.904948551573059
"181","AGO","Angola","equity CADC",2.03,2.43,146.07,78.02,0.937987407556028,0.907382536516793
"182","AGO","Angola","other CADC",62.01,13.35,146.07,78.02,0.937987407556028,0.907382536516793
"183","AGO","Angola","other ocean economy",82.03,62.24,146.07,78.02,0.937987407556028,0.907382536516793
"184","TLS","East Timor","equity CADC",29.11,30.65,143.87,134.62,0.941094591918297,0.911582268035963
"185","TLS","East Timor","other CADC",36.17,27.68,143.87,134.62,0.941094591918297,0.911582268035963
"186","TLS","East Timor","other ocean economy",78.59,76.29,143.87,134.62,0.941094591918297,0.911582268035963
"187","SLE","Sierra Leone","equity CADC",20.7,67.01,143.08,210.06,0.944184714518933,0.918135496404085
"188","SLE","Sierra Leone","other CADC",62.8,56.14,143.08,210.06,0.944184714518933,0.918135496404085
"189","SLE","Sierra Leone","other ocean economy",59.58,86.91,143.08,210.06,0.944184714518933,0.918135496404085
"190","ARG","Argentina","equity CADC",0.76,0.85,138.17,117.59,0.947168795031442,0.921803944103826
"191","ARG","Argentina","other CADC",110.45,89.57,138.17,117.59,0.947168795031442,0.921803944103826
"192","ARG","Argentina","other ocean economy",26.96,27.17,138.17,117.59,0.947168795031442,0.921803944103826
"193","SHN","Saint Helena","other CADC",62.78,74.08,130.8,146.23,0.949993704425929,0.926365872049511
"194","SHN","Saint Helena","other ocean economy",68.02,72.15,130.8,146.23,0.949993704425929,0.926365872049511
"195","LBY","Libya","equity CADC",2.82,2.82,129.49,120.94,0.952790321532137,0.930138829484723
"196","LBY","Libya","other CADC",3.36,3.52,129.49,120.94,0.952790321532137,0.930138829484723
"197","LBY","Libya","other ocean economy",123.31,114.6,129.49,120.94,0.952790321532137,0.930138829484723
"198","FSM","Federated States of Micronesia","equity CADC",11.33,2.84,125.69,74.13,0.955504869405173,0.932451458347567
"199","FSM","Federated States of Micronesia","other CADC",74.94,29.85,125.69,74.13,0.955504869405173,0.932451458347567
"200","FSM","Federated States of Micronesia","other ocean economy",39.42,41.44,125.69,74.13,0.955504869405173,0.932451458347567
"201","NRU","Nauru","equity CADC",62.46,41.88,123.35,89.93,0.958168879908307,0.935256998798606
"202","NRU","Nauru","other CADC",22.21,30.05,123.35,89.93,0.958168879908307,0.935256998798606
"203","NRU","Nauru","other ocean economy",38.68,18,123.35,89.93,0.958168879908307,0.935256998798606
"204","MSR","Montserrat","equity CADC",0.58,0.91,119.7,190.79,0.960754060753262,0.941209062210746
"205","MSR","Montserrat","other CADC",2.75,2.75,119.7,190.79,0.960754060753262,0.941209062210746
"206","MSR","Montserrat","other ocean economy",116.37,187.13,119.7,190.79,0.960754060753262,0.941209062210746
"207","MHL","Marshall Islands","equity CADC",8.88,1.97,115.51,50.6,0.963248749470059,0.94278762717041
"208","MHL","Marshall Islands","other CADC",82.52,24.1,115.51,50.6,0.963248749470059,0.94278762717041
"209","MHL","Marshall Islands","other ocean economy",24.11,24.53,115.51,50.6,0.963248749470059,0.94278762717041
"210","SYR","Syria","equity CADC",23.37,16.81,114.57,32.75,0.96572313685023,0.943809326823157
"211","SYR","Syria","other CADC",90.5,15.23,114.57,32.75,0.96572313685023,0.943809326823157
"212","SYR","Syria","other ocean economy",0.7,0.71,114.57,32.75,0.96572313685023,0.943809326823157
"213","FJI","Fiji","equity CADC",42.28,29.62,113.33,126.15,0.968170743743787,0.94774482029473
"214","FJI","Fiji","other CADC",63.26,88.14,113.33,126.15,0.968170743743787,0.94774482029473
"215","FJI","Fiji","other ocean economy",7.79,8.39,113.33,126.15,0.968170743743787,0.94774482029473
"216","DZA","Algeria","equity CADC",58.84,34.62,112.13,81.82,0.970592434037394,0.950297353595119
"217","DZA","Algeria","other CADC",45.93,36.96,112.13,81.82,0.970592434037394,0.950297353595119
"218","DZA","Algeria","other ocean economy",7.36,10.24,112.13,81.82,0.970592434037394,0.950297353595119
"219","CMR","Cameroon","equity CADC",11.31,11.31,104.42,284.2,0.972847610176326,0.959163522795445
"220","CMR","Cameroon","other CADC",49.56,231.23,104.42,284.2,0.972847610176326,0.959163522795445
"221","CMR","Cameroon","other ocean economy",43.55,41.66,104.42,284.2,0.972847610176326,0.959163522795445
"222","GAB","Gabon","equity CADC",29.79,29.79,91.86,75.48,0.974831525902454,0.961518267521837
"223","GAB","Gabon","other CADC",56.26,23.1,91.86,75.48,0.974831525902454,0.961518267521837
"224","GAB","Gabon","other ocean economy",5.81,22.59,91.86,75.48,0.974831525902454,0.961518267521837
"225","ERI","Eritrea","equity CADC",13.59,10.84,67.99,19.12,0.976299917261255,0.962114752937426
"226","ERI","Eritrea","other CADC",29.08,1.76,67.99,19.12,0.976299917261255,0.962114752937426
"227","ERI","Eritrea","other ocean economy",25.32,6.52,67.99,19.12,0.976299917261255,0.962114752937426
"228","MYS","Malaysia","equity CADC",4.17,4.45,62.1,66.52,0.977641101308637,0.9641899731176
"229","MYS","Malaysia","other CADC",30.95,29.66,62.1,66.52,0.977641101308637,0.9641899731176
"230","MYS","Malaysia","other ocean economy",26.98,32.41,62.1,66.52,0.977641101308637,0.9641899731176
"231","SYC","Seychelles","equity CADC",0,0.09,58.73,34.12,0.978909502904495,0.965254412572615
"232","SYC","Seychelles","other CADC",22.42,12.57,58.73,34.12,0.978909502904495,0.965254412572615
"233","SYC","Seychelles","other ocean economy",36.31,21.46,58.73,34.12,0.978909502904495,0.965254412572615
"234","THA","Thailand","equity CADC",4.18,8.63,57.9,59.8,0.980159978852054,0.967119989343127
"235","THA","Thailand","other CADC",23.11,23.34,57.9,59.8,0.980159978852054,0.967119989343127
"236","THA","Thailand","other ocean economy",30.61,27.83,57.9,59.8,0.980159978852054,0.967119989343127
